iter	RMSE
0	5.473544165
1	4.964608451
2	4.486889987
3	4.285460292
4	4.147079046
5	4.077532066
6	4.03510335
7	3.957578554
8	3.924323189
9	3.873340149
10	3.838509437
11	3.750872516
12	3.704876118
13	3.631300724
14	3.570017769
15	3.505205332
16	3.374604953
17	3.285584138
18	3.160417596
19	3.091717149
20	3.043729379
21	3.015722802
22	2.957640372
23	2.897359341
24	2.865667458
25	2.858775842
26	2.818405623
27	2.768604453
28	2.755538229
29	2.733594594
30	2.728555469
31	2.723906207
32	2.691276178
33	2.633388455
34	2.599872388
35	2.57005987
36	2.521852788
37	2.50992112
38	2.48381561
39	2.480794579
40	2.459533889
41	2.422678725
42	2.399830833
43	2.39149245
44	2.37779527
45	2.363474438
46	2.343675393
47	2.337039212
48	2.330879423
49	2.295686091
50	2.272813857
51	2.251523569
52	2.219512155
53	2.190631488
54	2.16545797
55	2.14369688
56	2.122696049
57	2.099478753
58	2.092362367
59	2.070722553
60	2.057920521
61	2.044456847
62	2.016828261
63	1.995869209
64	1.97312247
65	1.966126261
66	1.954262892
67	1.941645291
68	1.924677581
69	1.909258588
70	1.897418939
71	1.883502658
72	1.865012354
73	1.861584295
74	1.858695886
75	1.849329182
76	1.835065281
77	1.826503799
78	1.807971328
79	1.79460191
80	1.774985104
81	1.762072299
82	1.750383102
83	1.734763342
84	1.732980616
85	1.724598952
86	1.714651671
87	1.697401208
88	1.690411628
89	1.684620891
90	1.672798291
91	1.670452963
92	1.650923459
93	1.645624733
94	1.634640045
95	1.620339417
96	1.609248222
97	1.6014553
98	1.59118078
99	1.571537221
100	1.559390278
101	1.540945442
102	1.528163021
103	1.51490349
104	1.502326655
105	1.492117314
106	1.484053966
107	1.469248335
108	1.462480749
109	1.451502224
110	1.443830289
111	1.43142081
112	1.42098885
113	1.41323544
114	1.402284442
115	1.394957988
116	1.39411359
117	1.392824355
118	1.390058948
119	1.377735048
120	1.37060474
121	1.361695749
122	1.350337329
123	1.342215358
124	1.333292988
125	1.323933096
126	1.314343761
127	1.310080308
128	1.302228967
129	1.301618394
130	1.292669757
131	1.282815365
132	1.272899761
133	1.261930789
134	1.252750187
135	1.244975925
136	1.235060353
137	1.227260139
138	1.223888874
139	1.213962126
140	1.209752554
141	1.198641205
142	1.1943457
143	1.187434776
144	1.186522469
145	1.181789081
146	1.178047801
147	1.171331832
148	1.161750143
149	1.155816684
150	1.148954059
151	1.145258449
152	1.140837077
153	1.134622034
154	1.131893419
155	1.127454464
156	1.12194661
157	1.114908025
158	1.10779447
159	1.101963806
160	1.096403769
161	1.086895299
162	1.080165875
163	1.06951962
164	1.064531157
165	1.055008946
166	1.050648359
167	1.043642361
168	1.039817229
169	1.035418698
170	1.030228915
171	1.023551459
172	1.021109209
173	1.01575668
174	1.009342165
175	1.007478155
176	1.002327013
177	0.9965326672
178	0.9916595006
179	0.9892041605
180	0.9815082933
181	0.9763802953
182	0.9721630808
183	0.9717062165
184	0.9666824345
185	0.9609094731
186	0.9560537482
187	0.9507811084
188	0.9492720643
189	0.9410892197
190	0.9367579765
191	0.9328540261
192	0.9266870232
193	0.9230140392
194	0.9179475463
195	0.9138709874
196	0.9095878617
197	0.9062001472
198	0.9047376139
199	0.9031707534
200	0.8998556383
201	0.8931843955
202	0.8885218703
203	0.8842481049
204	0.8781692028
205	0.8721183898
206	0.8677992433
207	0.8646040479
208	0.8638707074
209	0.8594976168
210	0.8539327536
211	0.8510647706
212	0.8454207351
213	0.8400440263
214	0.837394177
215	0.8322893306
216	0.8287588083
217	0.8260445393
218	0.823178635
219	0.8184174405
220	0.8148955305
221	0.8112298897
222	0.807555791
223	0.8032336754
224	0.8008880639
225	0.795384076
226	0.7903268409
227	0.7846628042
228	0.7841080447
229	0.7788171955
230	0.77566425
231	0.7728495476
232	0.7690111656
233	0.7644372355
234	0.7609562191
235	0.7569558601
236	0.7519220379
237	0.750255046
238	0.7464862305
239	0.7420689515
240	0.7391186725
241	0.7365962692
242	0.7327816369
243	0.7304214474
244	0.7283554089
245	0.7254430957
246	0.7216251535
247	0.7164412029
248	0.7139188218
249	0.7105929854
250	0.7066014634
251	0.7039095336
252	0.7017858874
253	0.7011286648
254	0.6975562371
255	0.6935982489
256	0.6890476113
257	0.6849910779
258	0.6800249072
259	0.6774612169
260	0.6747729329
261	0.6701736753
262	0.666991229
263	0.6643274705
264	0.6630343783
265	0.660608412
266	0.6563236832
267	0.6537238723
268	0.6510242321
269	0.6472435299
270	0.6430759833
271	0.6381291573
272	0.6346966492
273	0.6305109143
274	0.6277859432
275	0.6249171616
276	0.6228783736
277	0.6200918938
278	0.6195937153
279	0.6180850781
280	0.6158101634
281	0.6138204352
282	0.6124473546
283	0.6095457141
284	0.6075209922
285	0.6043674198
286	0.6003356912
287	0.5983353536
288	0.596409025
289	0.5942314968
290	0.5922471056
291	0.588749298
292	0.5847315291
293	0.5838245791
294	0.5806409062
295	0.5799468072
296	0.5769854002
297	0.5738425669
298	0.5720546569
299	0.5701868412
300	0.5666871811
301	0.5643494022
302	0.5620525979
303	0.5596196004
304	0.5581210213
305	0.5571205244
306	0.5538817926
307	0.5503267422
308	0.5481460115
309	0.5459793587
310	0.5427151345
311	0.5410408538
312	0.5404036985
313	0.5378187065
314	0.535542631
315	0.5332970542
316	0.5328719347
317	0.5314882386
318	0.5285487576
319	0.5259297178
320	0.5238991373
321	0.522877651
322	0.5207727062
323	0.5175233282
324	0.5158441635
325	0.5143416692
326	0.5134988744
327	0.5110857419
328	0.5104498604
329	0.5079084493
330	0.5057863581
331	0.5042494185
332	0.503561425
333	0.5013685257
334	0.4995655028
335	0.4972123715
336	0.4944822833
337	0.4920253878
338	0.4887443707
339	0.4868015021
340	0.4848001856
341	0.4824881355
342	0.4806762688
343	0.4788616683
344	0.4763490748
345	0.4738548707
346	0.4733212202
347	0.4719769318
348	0.4705598282
349	0.4673746837
350	0.4656274918
351	0.4635732031
352	0.4615614717
353	0.4600418459
354	0.4587403681
355	0.4561708302
356	0.4560013603
357	0.4549135915
358	0.4543369597
359	0.4529452254
360	0.4515931191
361	0.4490131188
362	0.4481161868
363	0.4460352792
364	0.4442329907
365	0.4428902111
366	0.440757093
367	0.4390696478
368	0.4385561399
369	0.4372560034
370	0.4364533105
371	0.4339140894
372	0.4325303244
373	0.430911927
374	0.4291318077
375	0.4265561027
376	0.4258900244
377	0.4243467107
378	0.4236650955
379	0.4230318529
380	0.4217590352
381	0.4197386366
382	0.4175787174
383	0.4162427328
384	0.4146779158
385	0.4127527619
386	0.4113667135
387	0.4091004908
388	0.4075696541
389	0.4062604819
390	0.4037217901
391	0.4025682713
392	0.4006226474
393	0.3996523763
394	0.3985773793
395	0.3982074031
396	0.3967895609
397	0.3962712309
398	0.3926980079
399	0.3920099101
400	0.3913952061
401	0.3904406334
402	0.38958644
403	0.3879820276
404	0.387347384
405	0.3848403314
406	0.3820823808
407	0.3809555424
408	0.3797695214
409	0.3793671884
410	0.3775423984
411	0.377327641
412	0.376247526
413	0.3751974641
414	0.3743806909
415	0.3732069147
416	0.3717151732
417	0.368786425
418	0.3677188734
419	0.3667356512
420	0.3645448946
421	0.3628386341
422	0.3614301109
423	0.3599200822
424	0.358807667
425	0.3576492404
426	0.3562706986
427	0.3556567341
428	0.3539812485
429	0.3530666337
430	0.3528464881
431	0.3497422911
432	0.3490316438
433	0.3474855377
434	0.3465988551
435	0.3454312814
436	0.3445911025
437	0.3435701855
438	0.3426577604
439	0.3416068134
440	0.3406733693
441	0.3396310166
442	0.337986498
443	0.3369602074
444	0.3347020184
445	0.3341363383
446	0.3317458001
447	0.3310792893
448	0.3286607633
449	0.3272296485
450	0.3261336571
451	0.3254222359
452	0.3246197028
453	0.3232852424
454	0.3224711183
455	0.3217793785
456	0.3205127954
457	0.3188911052
458	0.3184371092
459	0.3161349998
460	0.3152781988
461	0.3135691375
462	0.313240093
463	0.3126638744
464	0.3118035102
465	0.3098348218
466	0.3084349845
467	0.3080178392
468	0.3063988525
469	0.3055069493
470	0.3048228661
471	0.3042694703
472	0.3028181704
473	0.3012946281
474	0.3008397685
475	0.3000709129
476	0.2996536731
477	0.2986826787
478	0.2967558473
479	0.2965808573
480	0.2959167528
481	0.2941148869
482	0.2933585454
483	0.292545815
484	0.2905295877
