iter	Passed	Remaining
0	143	143749
1	150	75288
2	155	51746
3	160	39915
4	164	32648
5	167	27794
6	172	24527
7	176	21928
8	183	20224
9	187	18517
10	192	17317
11	198	16337
12	205	15605
13	208	14678
14	213	14012
15	218	13414
16	223	12928
17	228	12452
18	234	12088
19	236	11606
20	244	11376
21	245	10930
22	254	10829
23	258	10529
24	263	10277
25	265	9959
26	273	9865227	282	9793228	285	9560229	295	9560
30	302	9466
31	308	9321
32	312	9162
33	316	9003
334	322	8895335	328	880336	333	8685
37	337	8542338	342	8448339	350	841240	354	8289
441	359	81954242	364	811443	369	8018444	374	7943
445	380	7888446	382	775447	389	7722
48	398	7735
49	404	7677
50	410	7636
51	418	7621
52	421	7532
53	429	7516
54	431	7414
55	439	7414
56	445	7370
57	449	7304
58	455	7262
59	459	7204
60	464	7145
61	465	7043
62	471	7006
63	476	6971
64	483	6949
65	488	6917
66	496	6919
67	501	6868
68	505	6816
69	511	6801
70	514	6733
71	517	6668
72	520	6611
73	524	6559
74	531	6550
75	535	6504
76	543	6520
77	550	6508
78	554	6461779	558	6423880	564	6398881	568	6364882	573	6331883	578	6306884	582	6265885	585	6219886	590	6195887	595	6169
88	598	6126889	603	6097990	607	6066991	612	6046992	617	6018993	621	5986994	627	5976
95	630	5937996	634	5906997	637	5870998	641	584199	644	5804
100	650	5793
101	655	5768
102	658	5735
103	660	5694
104	666	5680
105	669	5645
106	672	5613
107	675	5577
1108	679	55581109	684	55361110	689	55221111	693	54971112	698	5486
113	704	5475
114	707	5447
115	715	5453
116	719	5431
117	723	5408
118	726	5375
119	732	5370
120	735	5344
121	737	5308
122	744	5310
123	748	5284
124	747	5234
125	754	5234
126	758	5217
127	762	5197
128	763	5155
129	770	51531130	775	5147
131	782	5143
132	788	5137
133	790	5111
134	793	5087
135	797	5066
136	801	5051
137	807	5042
138	811	5024
139	814	5001
140	818	4985
141	824	4983
142	828	4966
143	833	4956
144	837	4936
145	841	4922
146	845	4908
147	850	4897
148	856	4892
149	860	4878
150	865	4863
151	869	4849
152	873	4835
153	875	4811
154	878	4790
155	881	4768
156	883	4743
157	889	4742
158	893	4727
159	896	4707
160	900	4690
161	904	4680
162	909	4668
163	912	4652
164	918	4650
165	924	4645
166	927	4627
167	933	4623
168	937	4611
169	941	4598
170	947	4593
171	949	4572
172	954	4561
173	958	4549
174	961	4533
175	964	4517
176	971	4516
177	975	4504
178	978	4487
179	981	4472
180	985	4459
181	989	4448
182	992	4430
183	996	4420
184	1003	4422
185	1008	4415
186	1011	439187	1012	4374
188	1019	4374
189	1025	4371
190	1030	4365
191	1034	4354
19192	1044	43619193	1048	43519194	1054	43519195	1058	43419196	1063	43319197	1072	4342
198	1076	4333
199	1080	43220200	1087	4323
201	1090	4309
202	1096	4303
203	1100	4293
204	1104	4284
205	1107	4269
206	1112	4263
207	1120	4266
208	1123	4250
209	1125	4234
210	1130	4227
211	1139	4237
212	1144	4230
213	1148	4216
214	1150	4200
215	1157	4200
216	1161	4191
217	1168	4191
218	1172	4181
219	1178	4177
220	1185	4179
221	1193	4182
222	1201	4185
223	1205	4177
224	1209	4165
225	1213	4156
226	1221	4158
227	1224	4145
228	1228	4136
229	1233	4128
230	1236	4117
231	1241	4110
232	1244	4096
233	1247	4084
234	1252	4078
235	1255	4063
236	1258	4053
237	1261	4037
238	1263	4023
239	1268	4018
240	1271	4004
241	1275	3994
242	1281	3991
243	1286	3987
244	1290	3978
245	1296	3972
246	1299	3962
247	1303	3953
248	1307	3944
249	1311	3933
250	1315	3924
251	1320	3919
252	1324	3910
253	1327	3900
254	1332	3893
255	1337	3887
256	1343	3882
257	1346	3872
258	1351	3867
259	1354	3856
260	1359	3849
261	1363	3841
262	1368	3834
263	1372	3825
264	1376	3817
265	1383	3817
266	1385	3804
267	1390	3796
268	1394	3789
269	1400	3786
270	1407	3785
271	1411	3777
272	1415	3770
273	1419	3760
274	1423	3752
275	1426	3742
276	1434	3743
277	1439	3739
278	1444	3732
279	1450	3730
280	1453	3718
281	1457	3710
282	1463	3708
283	1467	3700
284	1471	3691
285	1478	3690
286	1482	3684
287	1487	3678
288	1491	3670
289	1500	3672
290	1504	3664
291	1510	3663
292	1516	3658
293	1520	3650
294	1522	3638
295	1525	3627
296	1529	3619
297	1530	3605
298	1535	3600
299	1540	3595
300	1542	3582
301	1549	3581
302	1554	3576
303	1557	3566
304	1565	3568
305	1573	3568
306	1582	3571
307	1586	3564
308	1590	3557
309	1598	3557
310	1602	3550
311	1610	3550
312	1616	3547
313	1620	3541
314	1628	3541
315	1632	3533
316	1638	3529
317	1642	3522
318	1649	3521
319	1656	3519
320	1659	3511
321	1664	3504
322	1668	3497
323	1675	3495
324	1681	3491
325	1683	3481
326	1687	3473
327	1696	3476
328	1701	3469
329	1708	3469
330	1714	3466
331	1718	3457
332	1720	3447
333	1725	3440
334	1730	3434
335	1735	3430
336	1740	3424
337	1745	3419
