Unnamed: 0,DSL D-95,FIC21185(F1 Flow),FIC21192(F2 Flow),TIC23115(Feed1 T),TI23029(Feed2 T),FIC23108(SS Flow),PI23105(F Zone P),TI23120(F Zone T),TI23121(SS T),PI23038(BTM P),TI23123(Reflux T),TI23502(D/O Vapor T),FI23107(OF Flow),TI23122(BTM T),TI23116(Top T),TI23117(DSL S Vapor T),TI23119(OV T),PIC23106(Top P),FIC23104(Reflux F),FIC23010(D/O Flow),FI23116(T-AR Flow 1),FI23117(T-AR Flow 2),FIC25103(OVHD Flow 1),FIC23110(OVHD Flow 2),TI23118(D/O Liquid T),FIC23133(R/D Flow),FIC23105(P/A RT Flow),TI23028(P/A RT T),TI21022A(Catalyst T 1),TI21022B(Catalyst T 2),year,month,date,hour
2015-01-01 7:00,396.6,550.8983,50.2086,371.4857,327.1521,12.6999,0.8855,365.2428,296.1245,0.9671,42.4802,305.3691,21.2453,362.744,110.1155,247.5054,336.5042,0.6695,92.0918,105.9727,153.6876,309.6991,1.9059,9.9292,244.4881,101.8877,324.9524,204.5625,375.2902,375.3465,2015,1,1,7
2015-01-02 7:00,396.6,550.4379,50.9556,371.5141,327.4293,12.703,0.8788,366.6962,298.6095,0.9602,43.3087,317.2792,20.9002,362.3851,109.8148,249.7977,339.574,0.6686,87.6455,110.9243,142.4837,311.7483,1.7254,11.4402,248.4653,107.0754,325.0302,204.9979,375.1679,375.265,2015,1,2,7
2015-01-03 7:00,401.0,549.9128,50.6626,372.4941,327.1995,12.7,0.8886,365.9364,298.1955,0.9705,43.0315,303.5425,23.3113,363.4046,109.8987,246.5459,337.7318,0.6688,92.23,105.445,129.7777,331.6177,1.8062,9.3861,243.686,101.1684,329.8979,203.6184,375.5915,375.7339,2015,1,3,7
2015-01-04 7:00,391.8,550.478,52.066,372.488,326.0615,12.699,0.8914,364.5561,298.0781,0.9729,43.9677,299.9352,26.9116,362.9605,109.7104,245.984,338.7157,0.6694,92.3559,105.8558,99.1655,358.9523,1.8758,10.6348,241.9744,99.0032,330.0094,200.9444,375.5029,375.6302,2015,1,4,7
2015-01-05 7:00,402.2,549.7178,52.4928,372.1787,326.1675,12.703,0.89,364.984,298.863,0.9719,44.3689,302.2838,27.4475,362.5666,109.5822,247.3666,338.9142,0.6695,91.5937,106.4296,77.5263,382.5391,1.8718,10.3538,243.9027,99.5415,330.0248,203.2724,375.5222,375.5737,2015,1,5,7
2015-01-06 7:00,393.0,526.9712,50.5289,371.9571,325.8708,12.6993,0.8865,364.5791,297.2343,0.9697,44.8768,302.457,27.746,362.0777,109.3279,246.1679,336.6504,0.6694,90.1354,103.4949,121.2311,318.8131,1.767,10.1032,242.8154,96.7905,330.0495,203.0395,374.9434,375.0787,2015,1,6,7
2015-01-07 7:00,398.6,545.7163,54.8502,371.9923,325.0436,12.6989,0.895,365.8311,296.4198,0.9765,43.6832,303.1726,18.6266,362.8821,109.9859,246.8235,333.8701,0.6691,95.1605,107.8042,151.8219,305.8177,2.2583,10.3614,243.699,101.5392,330.0842,204.0746,376.4965,376.6746,2015,1,7,7
2015-01-08 7:00,394.8,536.9,53.3118,371.5025,324.5792,12.6999,0.8883,365.0817,296.9478,0.9697,42.4858,303.6471,21.8346,362.0584,109.7848,247.3263,335.7413,0.669,89.5553,107.7811,99.2277,344.1884,1.9344,11.2755,244.5556,103.2337,329.9514,203.4271,375.9516,376.0214,2015,1,8,7
2015-01-09 7:00,394.2,530.1616,50.9234,371.4675,324.804,12.697,0.8891,363.8345,296.3814,0.9703,42.9365,299.3186,23.854,362.2225,109.7256,246.6937,337.4021,0.6692,90.9384,104.6263,81.8344,362.2202,1.9079,10.729,243.3343,98.5415,330.0484,204.0689,376.2677,376.2374,2015,1,9,7
2015-01-10 7:00,392.4,528.8468,51.5574,371.4906,324.5262,12.7008,0.8871,364.3232,296.9508,0.9687,43.3545,304.0117,23.3869,361.9823,109.7343,246.5874,337.1352,0.669,90.5608,105.8595,75.5083,365.6369,1.9259,10.8245,243.7065,100.3912,329.9705,203.9909,376.2683,376.3121,2015,1,10,7
2015-01-11 7:00,394.8,529.2886,51.5465,371.7213,324.2269,12.7016,0.8887,364.0303,297.4832,0.9706,44.6553,302.1056,24.5154,361.7582,109.4903,247.2239,338.6178,0.6691,91.5156,105.1444,83.0565,360.0035,1.9108,11.0139,243.3105,98.6187,330.0007,203.5793,376.3451,376.3226,2015,1,11,7
2015-01-12 7:00,398.0,529.2946,52.0904,371.9892,325.2572,12.7007,0.886,366.0671,296.8394,0.9677,43.1986,306.5936,22.3072,362.3768,109.7678,247.4635,336.614,0.6693,90.4991,107.4169,100.6476,340.379,2.0446,10.4511,244.6545,101.6402,329.9047,204.2415,376.4556,376.5539,2015,1,12,7
2015-01-13 7:00,395.4,528.715,52.8703,372.0037,324.6139,12.7,0.8907,364.8384,297.7367,0.9717,43.8461,303.1118,25.9184,362.0717,109.6589,247.659,338.9699,0.6691,92.8064,107.3118,115.2929,326.1093,2.0143,11.2776,243.9227,100.7088,330.0164,203.9714,376.8804,376.8575,2015,1,13,7
2015-01-14 7:00,394.8,528.3768,52.4859,371.4923,324.42,12.6989,0.8909,363.8685,298.2362,0.9729,45.0061,302.3841,28.0757,361.4244,109.4111,247.1763,338.5434,0.669,94.0041,106.3364,122.036,320.9105,1.9648,10.7865,242.6338,99.3176,329.8955,203.6436,376.7588,376.7557,2015,1,14,7
2015-01-15 7:00,394.8,528.4238,52.7217,371.493,324.8944,12.7017,0.8882,365.0059,297.018,0.9715,44.8103,305.6867,24.5477,361.5762,109.4183,247.1633,333.7642,0.6692,92.6243,107.4007,109.4504,330.6396,1.8401,11.0069,243.4547,100.8331,329.9604,203.7138,376.6883,376.7549,2015,1,15,7
2015-01-16 7:00,396.0,528.9182,53.6972,370.9781,324.1937,12.6996,0.8852,364.7043,297.9642,0.9676,42.4315,308.7246,25.0158,360.8329,109.3475,247.0757,338.3459,0.6694,88.7244,109.7494,91.7459,345.0131,1.916,11.0275,245.1258,103.2633,331.8548,203.8961,377.2963,377.319,2015,1,16,7
